U01;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
12500;Head of State;刘成勋 ;24;PA;Barking Buffoon;Medium;liuchengxun;x
12501;Head of Government;刘文辉 ;24;PA;Ambitious Union Boss;Medium;liuwenhui;x
12502;Foreign Minister;刘文辉 ;24;PA;General Staffer;Medium;liuwenhui;x
12503;Minister of Armament;刘文辉 ;24;PA;Infantry Proponent;Medium;liuwenhui;x
12504;Minister of Security;刘成勋 ;24;PA;Prince of Terror;Medium;liuchengxun;x
12505;Head of Military Intelligence;费东明 ;24;PA;Logistics Specialist;Medium;dazhong;x
12506;Chief of Staff;刘成勋 ;24;PA;School of Mass Combat;Medium;yangsen;x
12507;Chief of Army;刘文辉 ;24;PA;Decisive Battle Doctrine;Medium;liuwenhui;x
12510;Head of State;刘文辉 ;20;PA;Die-hard Reformer;Medium;liuwenhui;x
12511;Head of Government;陈洪范 ;20;PA;Old General;Medium;dazhong;x
12512;Minister of Security;刘文辉 ;20;PA;Silent Lawyer;Medium;liuwenhui;x
