U06;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
7000;Head of State;Ëï´«·¼ ;24;PA;Weary Stiffneck;Medium;sunchuanfang;x
7001;Head of Government;Â¬ÏãÍ¤;20;PA;Flamboyant Tough Guy;Medium;±RÏãÍ¤;x
7002;Foreign Minister;Ëï´«·¼ ;24;PA;Iron Fisted Brute;Medium;sunchuanfang;x
7003;Minister of Armament;Â¬ÓÀÏé ;24;PA;Military Entrepreneur;Medium;luyongxiang;x
7004;Minister of Security;ÖÜÒñÈË ;24;PA;Prince of Terror;Medium;zhouyinren;x
7005;Head of Military Intelligence;³ÂÒÇ ;24;PA;Industrial Specialist;Medium;chenyi;x
7006;Chief of Staff;Â¬ÓÀÏé ;20;PA;School of Mass Combat;Medium;luyongxiang;x
7007;Chief of Army;Ëï´«·¼ ;24;PA;Decisive Battle Doctrine;Medium;sunchuanfang;x
7010;Head of Government;ÖÜÒñÈË ;24;PA;Old General;Medium;zhouyinren;x
7011;Minister of Security;µËÈç×Á ;20;PA;Efficient Sociopath;Medium;dazhong;x
7012;Foreign Minister;³Âµ÷Ôª ;20;PA;Undistinguished Suit;Medium;chendiaoyuan;x
7013;Minister of Armament;³Âµ÷Ôª ;20;PA;Military Entrepreneur;Medium;chendiaoyuan;x
7014;Chief of Staff;Ö£¿¡Ñå ;24;PA;Static Defence Doctrine;Medium;dazhong;x
7015;Chief of Army;µËÈç×Á ;20;PA;Decisive Battle Doctrine;Medium;dazhong;x
7016;Head of Military Intelligence;ÏÄ³¬ ;20;PA;Dismal Enigma;Medium;ÏÄ³¬;x
