U08;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
16508;Chief of Navy;國民黨;36;PA;Undistinguished Suit;Medium;kmt;x
16509;Chief of Air Force;本土勢力;36;PA;Undistinguished Suit;Medium;bentu;x
16510;Foreign Minister;伍朝枢 ;27;PA;Ideological Crusader;Medium;wuchaoshu;x
16512;Head of Military Intelligence;蒋中正;27;PA;Political Specialist;Medium;kongyige;x
16515;Head of State;胡汉民 ;25;PA;Benevolent Gentleman;Medium;huhanmin;x
16516;Head of Government;蒋中正 ;25;PA;Old General;Medium;kongyige;x
16519;Foreign Minister;胡汉民 ;25;PA;Ideological Crusader;Medium;huhanmin;x
16522;Minister of Armament;宋子文 ;27;PA;Administrative Genius;Medium;songziwen;x
16525;Chief of Staff;蒋中正 ;27;PA;School of Mass Combat;Medium;kongyige;x
16526;Chief of Army;蒋中正 ;27;PA;Guns and Butter Doctrine;Medium;kongyige;x
16528;Minister of Security;蔡元培 ;28;PA;Man of the People;Medium;caiyuanpei;x
16530;Head of State;蒋中正 ;28;PA;Stern Imperialist;Very High;kongyige;x
16533;Head of Military Intelligence;陈立夫 ;27;PA;Political Specialist;Medium;chenlifu;x
16534;Head of Government;李宗仁 ;27;PA;Old General;Very High;lizongren;x
16535;Chief of Staff;白崇禧 ;27;PA;School of Mass Combat;Medium;baichongxi;x
16536;Chief of Army;白崇禧 ;27;PA;Guns and Butter Doctrine;Medium;baichongxi;x
