U03;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
2000;Head of State;·ëÓñÏé ;24;PA;Resigned Generalissimo;Medium;fengyuxiang;x
2002;Foreign Minister;·ëÓñÏé ;24;PA;Ideological Crusader;Medium;fengyuxiang;x
2003;Minister of Armament;ÕÅÖ®½­ ;20;PA;Infantry Proponent;Medium;zhangzhijiang;x
2004;Minister of Security;Â¹ÖÓ÷ë ;24;PA;Prince of Terror;Medium;luzhonglin;x
2005;Head of Military Intelligence;ËÎÕÜÔª ;24;PA;Logistics Specialist;Medium;songzheyuan;x
2006;Chief of Staff;·ëÓñÏé ;24;PA;Static Defence Doctrine;Medium;fengyuxiang;x
2007;Chief of Army;·ëÓñÏé ;24;PA;Decisive Battle Doctrine;Medium;fengyuxiang;x
2010;Head of Government;Â¹ÖÓ÷ë ;20;PA;Political Protege;Medium;luzhonglin;x
2011;Minister of Armament;¹ıÖ®º² ;24;PA;Military Entrepreneur;Medium;dazhong;x
2012;Head of Government;ºú¾°Òí ;24;PA;Flamboyant Tough Guy;Medium;hujingyi;x
2013;Head of State;Â¹ÖÓ÷ë ;20;PA;Popular Figurehead;Medium;luzhonglin;x
2024;Head of State;—î»¢³Ç;30;PA;Ruthless Powermonger;Medium;yanghucheng;x
2025;Head of Government;—î»¢³Ç;30;PA;Old General;Medium;yanghucheng;x
2026;Head of Military Intelligence;—î»¢³Ç;30;PA;Political Specialist;Medium;yanghucheng;x
2014;Chief of Staff;ËÎÕÜÔª ;20;PA;School of Mass Combat;Medium;songzheyuan;x
2023;Head of State;ËÎÕÜÔª ;29;PA;Popular Figurehead;Medium;songzheyuan;x
2015;Chief of Army;ÕÅÖ®½­ ;20;PA;Elastic Defence Doctrine;Medium;zhangzhijiang;x
2016;Foreign Minister;Â¹ÖÓ÷ë ;20;PA;Iron Fisted Brute;Medium;luzhonglin;x
2017;Head of Government;ÕÅÖ®½­ ;20;PA;Political Protege;Medium;zhangzhijiang;x
2018;Minister of Security;ËïÔÀ ;20;PA;Compassionate Gentleman;Medium;sunyue;x
2019;Head of Military Intelligence;·½ÕñÎä ;20;PA;Logistics Specialist;Medium;fangzhenwu;x
2020;Chief of Army;ºú¾°Òí ;20;PA;Decisive Battle Doctrine;Medium;hujingyi;x
2021;Chief of Staff;ËïÔÀ ;20;PA;School of Psychology;Medium;sunyue;x
2022;Head of State;ËÎÕÜÔª ;28;PA;Insignificant Layman;Medium;songzheyuan;x
2027;Chief of Staff;·ëÇÕÔÕ ;30;PA;School of Psychology;Very High;L50082;x
2028;Head of Military Intelligence;ËïÎµÈç ;30;PA;Industrial Specialist;Medium;L50270;x
2029;Chief of Staff;ËïÎµÈç ;30;PA;School of Defence;Medium;MC_U01_swr;x
2030;Minister of Security;ÑîÃ÷Ğù ;30;PA;Man of the People;Medium;MC_U01_ymx;x
2031;Minister of Armament;ÕÔÊÙÉ½ ;30;PA;Infantry Proponent;Medium;L50026;x
2032;Minister of Security;ÕÔÊÙÉ½ ;30;PA;Crooked Kleptocrat;Medium;L50026;x
