U18;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
15000;Head of State;马鸿宾 ;24;PA;Weary Stiffneck;Medium;mahongbin;x
15001;Head of Government;马鸿宾 ;24;PA;Old General;Medium;mahongbin;x
15002;Foreign Minister;马鸿宾 ;24;PA;General Staffer;Medium;mahongbin;x
15003;Minister of Armament;马显图 ;24;PA;Infantry Proponent;Medium;dazhong;x
15004;Minister of Security;马显诚 ;24;PA;Crooked Kleptocrat;Medium;dazhong;x
15005;Head of Military Intelligence;马鸿逵 ;24;PA;Dismal Enigma;Medium;mahongkui;x
15006;Chief of Staff;马献文 ;24;PA;School of Mass Combat;Medium;dazhong;x
15007;Chief of Army;马鸿宾 ;24;PA;Static Defence Doctrine;Medium;mahongbin;x
15010;Head of State;马鸿逵 ;24;PA;Die-hard Reformer;Medium;mahongkui;x
15011;Head of State;马福祥 ;24;PA;Popular Figurehead;Medium;mafuxiang;x
15012;Head of Government;马鸿逵 ;24;PA;Political Protege;Medium;mahongkui;x
15013;Foreign Minister;马鸿逵 ;24;PA;General Staffer;Medium;mahongkui;x
15014;Foreign Minister;马福祥 ;24;PA;Great Compromiser;Medium;mafuxiang;x
