U21;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
900500;Head of State;º«¸´é° ;28;PA;Ruthless Powermonger;Very High;L50087;x
900501;Head of Government;º«¸´é° ;28;PA;Old General;Very High;L50087;x
900502;Foreign Minister;ÕÅîá ;28;SC;Apologetic Clerk;High;unknown;x
900503;Minister of Armament;ÍõÏòÈÙ ;28;SC;Corrupt Kleptocrat;High;unknown;x
900504;Minister of Security;ÕÅÉÜÌÃ ;28;SC;Back Stabber;High;unknown;x
900505;Head of Military Intelligence;ÕÅÉÜÌÃ ;28;SC;Political Specialist;High;unknown;x
900506;Chief of Staff;ÀîÊ÷´º ;28;SC;School of Defence;high;m900506;x
900507;Chief of Army;ËïÍ©İæ ;28;SC;Static Defence Doctrine;medium;L50269;x
900508;Chief of Navy;ÀîÊ÷´º ;28;SC;Power Projection Doctrine;high;m900506;x
900509;Chief of Air Force;ÀîÊ÷´º ;28;SC;Army Aviation Doctrine;high;m900506;x
