U10;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
10500;Head of State;ÕÔºãÌè ;24;PA;Pig-headed Isolationist;Medium;zhaohengti;x
10501;Head of Government;ÌÆÉúÖÇ ;24;PA;Political Protege;Medium;tangshengzhi;x
10502;Foreign Minister;ÕÔºãÌè ;24;PA;Great Compromiser;Medium;zhaohengti;x
10503;Minister of Armament;ÕÔºãÌè ;24;PA;Laissez Faires Capitalist;Medium;zhaohengti;x
10504;Minister of Security;ºØÒ«×æ ;24;PA;Man of the People;Medium;heyaozu;x
10534;Head of Military Intelligence;ºØÒ«×æ ;24;PA;Man of the People;Medium;heyaozu;x
10505;Head of Military Intelligence;ÌÆÉúÖÇ ;24;PA;Dismal Enigma;Medium;tangshengzhi;x
10506;Chief of Staff;ºØÒ«×æ ;24;PA;School of Psychology;Medium;heyaozu;x
10536;Foreign Minister;ºØÒ«×æ ;24;PA;School of Psychology;Medium;heyaozu;x
10507;Chief of Army;ÕÔºãÌè ;36;PA;Static Defence Doctrine;Medium;zhaohengti;x
10510;Head of State;ÌÆÉúÖÇ ;20;PA;Die-hard Reformer;Medium;tangshengzhi;x
10511;Foreign Minister;ÌÆÉúÖÇ ;20;PA;Iron Fisted Brute;Medium;tangshengzhi;x
10512;Head of Government;ºÎ¼ü ;28;PA;Political Protege;Medium;hejian;x
10533;Chief of Army;ºÎ¼ü ;25;PA;Political Protege;Medium;hejian;x
10537;Chief of Staff;ºÎ¼ü ;25;PA;Political Protege;Medium;hejian;x
10538;Minister of Armament;ºÎ¼ü ;25;PA;Infantry Proponent;Medium;hejian;x
10531;Head of State;ºÎ¼ü ;28;PA;Political Protege;Medium;hejian;x
10513;Chief of Army;ÌÆÉúÖÇ ;20;PA;Guns and Butter Doctrine;Medium;tangshengzhi;x
10514;Minister of Armament;ÌÆÉúÖÇ ;20;PA;Military Entrepreneur;Medium;tangshengzhi;x
10517;Head of Government;ô”œìÆ½;27;PA;Political Protege;Medium;ludiping;x
10532;Head of State;ô”œìÆ½;27;PA;Ruthless Powermonger;Medium;ludiping;x
10535;Minister of Armament;ô”œìÆ½;27;PA;Ruthless Powermonger;Medium;ludiping;x
