U07;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
12000;Head of State;刘湘 ;24;PA;Stern Imperialist;Medium;liuxiang;x
12001;Head of Government;傅常 ;24;PA;Old General;Medium;dazhong;x
12002;Foreign Minister;刘湘 ;24;PA;Ideological Crusader;Medium;liuxiang;x
12003;Minister of Armament;刘航琛 ;24;PA;Administrative Genius;Medium;liuhangchen;x
12004;Minister of Security;刘湘 ;24;PA;Prince of Terror;Medium;liuxiang;x
12005;Head of Military Intelligence;张斯可 ;24;PA;Dismal Enigma;Medium;dazhong;x
12006;Chief of Staff;唐式遵 ;24;PA;School of Mass Combat;Medium;tangshizun;x
12007;Chief of Army;刘湘 ;24;PA;Decisive Battle Doctrine;Medium;liuxiang;x
12010;Foreign Minister;乔毅夫 ;24;PA;Apologetic Clerk;Medium;dazhong;x
12011;Chief of Staff;王陵基 ;20;PA;School of Defence;Medium;wanglingji;x
12012;Chief of Army;潘文华 ;20;PA;Elastic Defence Doctrine;Medium;panwenhua;x
12013;Minister of Armament;刘湘 ;24;PA;Infantry Proponent;Medium;liuxiang;x
12014;Minister of Security;傅常 ;20;PA;Silent Lawyer;Medium;fuchang;x
12015;Head of Government;徐孝刚 ;28;PA;Ambitious Union Boss;Medium;dazhong;x
12016;Minister of Armament;徐孝刚 ;27;PA;Military Entrepreneur;Medium;dazhong;x
12017;Minister of Armament;卢作孚 ;28;PA;Administrative Genius;Medium;luzuofu;x
12018;Chief of Navy;南方军閥;36;PA;Undistinguished Suit;Medium;nanfang;x
12019;Chief of Air Force;本土勢力;36;PA;Undistinguished Suit;Medium;bentu;x
