;;;;;;;;;;;X
;;;;;;;;;;;X
RT_ARTILLERY;炮兵射击术 ;;;;;;;;;;X
RT_MECHANICS;机械学 ;;;;;;;;;;X
RT_ELECTRONICS;电子学 ;;;;;;;;;;X
RT_CHEMISTRY;化学 ;;;;;;;;;;X
RT_TRAINING;训练 ;;;;;;;;;;X
RT_GENERAL_EQUIPMENT;通用设备 ;;;;;;;;;;X
RT_ROCKETRY;火箭学 ;;;;;;;;;;X
RT_NAVAL_ENGINEERING;海军工程学 ;;;;;;;;;;X
RT_AERONAUTICS;航空学 ;;;;;;;;;;X
RT_NUCLEAR_PHYSICS;核物理学 ;;;;;;;;;;X
RT_NUCLEAR_ENGINEERING;核工程学 ;;;;;;;;;;X
RT_MANAGEMENT;管理学 ;;;;;;;;;;X
RT_IAIRCRAFTUSTRIAL_ENGINEERING;工业管理学 ;;;;;;;;;;X
RT_MATHEMATICS;数学 ;;;;;;;;;;X
RT_SMALL_UNIT_TACTICS;小兵团战术 ;;;;;;;;;;X
RT_LARGE_UNIT_TACTICS;大兵团战术 ;;;;;;;;;;X
RT_CENTRALIZED_EXECUTION;集中行动 ;;;;;;;;;;X
RT_DECENTRALIZED_EXECUTION;分散行动 ;;;;;;;;;;X
RT_TECHNICAL_EFFICIENCY;科研效率 ;;;;;;;;;;X
RT_IAIRCRAFTIVIDUAL_COURAGE;个人英雄主义 ;;;;;;;;;;X
RT_INFANTRY_FOCUS;步兵协同 ;;;;;;;;;;X
RT_COMBINED_ARMS_FOCUS;步坦协同 ;;;;;;;;;;X
RT_LARGE_UNIT_FOCUS;大兵团协同 ;;;;;;;;;;X
RT_NAVAL_ARTILLERY;海军炮兵射击术 ;;;;;;;;;;X
RT_NAVAL_TRAINING;海军训练 ;;;;;;;;;;X
RT_ND_TESTING;飞机试验 ;;;;;;;;;;X
RT_FIGHTER_TACTICS;战斗机战术 ;;;;;;;;;;X
RT_BOMBER_TACTICS;轰炸机战术 ;;;;;;;;;;X
RT_LARGE_TASKFORCE_TACTICS;大编队战术 ;;;;;;;;;;X
RT_SMALL_TASKFORCE_TACTICS;小编队战术 ;;;;;;;;;;X
RT_SEAMANSHIP;航海术 ;;;;;;;;;;X
RT_PILOTING;地标领航 ;;;;;;;;;;X
RT_SUBMARINE_TACTICS;潜艇战术 ;;;;;;;;;;X
RT_CARRIER_TACTICS;航母战术 ;;;;;;;;;;X
;;;;;;;;;;;X
TECH_CAT_INFANTRY_2;步兵 ;;;;;;;;;;X
TECH_CAT_INFANTRY_1;精锐团 ;;;;;;;;;;X
TECH_CAT_INFANTRY_3;骑兵 ;;;;;;;;;;X
TECH_CAT_ARMOR_1;步枪 ;;;;;;;;;;X
TECH_CAT_ARMOR_2;機槍 ;;;;;;;;;;X
;;;;;;;;;;;X
;;;;;;;;;;;X
TECH_INFANTRY_NAME;陸軍編制;;;;;;;;;;X
TECH_INFANTRY_DESC;这个领域的研究能使一个国家改良它的步兵单兵武器装备。 它包括手持武器以及一些用来建立海军陆战队和空降兵的特 种装备。或许最重要的是这个领域的研究可以发展出合适的 战地工程配备并改良后勤和指挥系统。对于任何面对战争的 国家，这是极其重要的领域。 ;;;;;;;;;;X
TECH_APP_INFANTRY_1_NAME;清末老式陆军编制 ;;;;;;;;;;X
TECH_APP_INFANTRY_1_DESC;;;;;;;;;;;X
TECH_CMP_INFANTRY_1_1_NAME;一战制式步枪 ;;;;;;;;;;X
TECH_CMP_INFANTRY_1_2_NAME;37毫米步兵炮 ;;;;;;;;;;X
TECH_CMP_INFANTRY_1_3_NAME;基本信号指挥系统 ;;;;;;;;;;X
TECH_CMP_INFANTRY_1_4_NAME;手榴弹和地雷 ;;;;;;;;;;X
TECH_CMP_INFANTRY_1_5_NAME;大规模突击训练 ;;;;;;;;;;X
TECH_APP_INFANTRY_2_NAME;德式操典编制 ;;;;;;;;;;X
TECH_APP_INFANTRY_2_DESC;;;;;;;;;;;X
TECH_CMP_INFANTRY_2_1_NAME;制式步枪 ;;;;;;;;;;X
TECH_CMP_INFANTRY_2_2_NAME;50毫米步兵炮 ;;;;;;;;;;X
TECH_CMP_INFANTRY_2_3_NAME;基本远程侦察部队 ;;;;;;;;;;X
TECH_CMP_INFANTRY_2_4_NAME;50毫米轻型迫击炮 ;;;;;;;;;;X
TECH_CMP_INFANTRY_2_5_NAME;小兵团战斗训练 ;;;;;;;;;;X
TECH_APP_INFANTRY_3_NAME;小站新军编制 ;;;;;;;;;;X
TECH_APP_INFANTRY_3_DESC;;;;;;;;;;;X
TECH_CMP_INFANTRY_3_1_NAME;基本冲锋枪 ;;;;;;;;;;X
TECH_CMP_INFANTRY_3_2_NAME;75毫米步兵炮 ;;;;;;;;;;X
TECH_CMP_INFANTRY_3_3_NAME;基本信号侦听及干扰设备 ;;;;;;;;;;X
